trial_id,title,condition,drug,phase,status
NCT80853,Phase 2 Study of Metformin in Type 2 Diabetes,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 1,Withdrawn
NCT90374,Phase 1 Study of Monoclonal Antibody in Alzheimer's,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 2,Recruiting
NCT50998,Phase 2 Study of Metformin in Rheumatoid Arthritis,Asthma,Monoclonal Antibody,Phase 1,Recruiting
NCT21656,Phase 2 Study of Metformin in Alzheimer's,Asthma,Metformin,Phase 1,Terminated
NCT78575,Phase 3 Study of Monoclonal Antibody in Alzheimer's,Asthma,IL-6 Inhibitor,Phase 3,Terminated
NCT77642,Phase 3 Study of Metformin in Rheumatoid Arthritis,Asthma,Monoclonal Antibody,Phase 3,Terminated
NCT68339,Phase 2 Study of Monoclonal Antibody in Alzheimer's,Type 2 Diabetes,Metformin,Phase 1,Completed
NCT14014,Phase 1 Study of mRNA-101 in Alzheimer's,Rheumatoid Arthritis,BACE Inhibitor,Phase 2,Withdrawn
NCT10159,Phase 2 Study of mRNA-101 in Cancer,Asthma,mRNA-101,Phase 1,Withdrawn
NCT58783,Phase 2 Study of BACE Inhibitor in Alzheimer's,Cancer,Monoclonal Antibody,Phase 2,Terminated
NCT42520,Phase 3 Study of Monoclonal Antibody in Asthma,Alzheimer's,Monoclonal Antibody,Phase 1,Terminated
NCT42314,Phase 3 Study of Monoclonal Antibody in Cancer,Rheumatoid Arthritis,BACE Inhibitor,Phase 3,Completed
NCT70416,Phase 3 Study of IL-6 Inhibitor in Alzheimer's,Alzheimer's,BACE Inhibitor,Phase 1,Withdrawn
NCT97803,Phase 2 Study of Monoclonal Antibody in Asthma,Asthma,BACE Inhibitor,Phase 3,Recruiting
NCT85922,Phase 1 Study of BACE Inhibitor in Asthma,Type 2 Diabetes,BACE Inhibitor,Phase 3,Withdrawn
NCT75105,Phase 1 Study of IL-6 Inhibitor in Alzheimer's,Cancer,BACE Inhibitor,Phase 2,Recruiting
NCT32207,Phase 2 Study of Metformin in Rheumatoid Arthritis,Type 2 Diabetes,mRNA-101,Phase 1,Completed
NCT35621,Phase 3 Study of BACE Inhibitor in Alzheimer's,Cancer,mRNA-101,Phase 1,Withdrawn
NCT88764,Phase 2 Study of mRNA-101 in Asthma,Rheumatoid Arthritis,BACE Inhibitor,Phase 3,Terminated
NCT15199,Phase 1 Study of BACE Inhibitor in Rheumatoid Arthritis,Type 2 Diabetes,Metformin,Phase 1,Withdrawn
NCT30168,Phase 3 Study of mRNA-101 in Type 2 Diabetes,Rheumatoid Arthritis,Metformin,Phase 1,Withdrawn
NCT56403,Phase 2 Study of Metformin in Asthma,Asthma,mRNA-101,Phase 1,Recruiting
NCT75420,Phase 2 Study of mRNA-101 in Rheumatoid Arthritis,Asthma,IL-6 Inhibitor,Phase 2,Withdrawn
NCT42592,Phase 1 Study of BACE Inhibitor in Cancer,Alzheimer's,mRNA-101,Phase 1,Withdrawn
NCT11433,Phase 1 Study of Metformin in Alzheimer's,Cancer,Monoclonal Antibody,Phase 3,Recruiting
NCT54912,Phase 1 Study of IL-6 Inhibitor in Asthma,Cancer,BACE Inhibitor,Phase 1,Recruiting
NCT22462,Phase 3 Study of IL-6 Inhibitor in Asthma,Cancer,IL-6 Inhibitor,Phase 2,Completed
NCT26689,Phase 3 Study of BACE Inhibitor in Alzheimer's,Asthma,IL-6 Inhibitor,Phase 3,Completed
NCT97533,Phase 2 Study of Metformin in Asthma,Type 2 Diabetes,BACE Inhibitor,Phase 2,Withdrawn
NCT81570,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Rheumatoid Arthritis,mRNA-101,Phase 1,Recruiting
NCT78354,Phase 2 Study of Metformin in Type 2 Diabetes,Alzheimer's,mRNA-101,Phase 2,Recruiting
NCT86378,Phase 2 Study of Metformin in Asthma,Asthma,Metformin,Phase 2,Completed
NCT73639,Phase 1 Study of Monoclonal Antibody in Asthma,Rheumatoid Arthritis,Monoclonal Antibody,Phase 1,Withdrawn
NCT65845,Phase 1 Study of BACE Inhibitor in Rheumatoid Arthritis,Cancer,BACE Inhibitor,Phase 1,Withdrawn
NCT79640,Phase 2 Study of Metformin in Alzheimer's,Alzheimer's,BACE Inhibitor,Phase 1,Recruiting
NCT49753,Phase 3 Study of Monoclonal Antibody in Alzheimer's,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Recruiting
NCT62653,Phase 3 Study of IL-6 Inhibitor in Cancer,Type 2 Diabetes,IL-6 Inhibitor,Phase 1,Withdrawn
NCT61685,Phase 3 Study of BACE Inhibitor in Type 2 Diabetes,Alzheimer's,mRNA-101,Phase 3,Completed
NCT84455,Phase 2 Study of BACE Inhibitor in Alzheimer's,Asthma,BACE Inhibitor,Phase 3,Terminated
NCT73740,Phase 2 Study of BACE Inhibitor in Cancer,Asthma,IL-6 Inhibitor,Phase 3,Terminated
NCT98488,Phase 1 Study of Metformin in Cancer,Type 2 Diabetes,Metformin,Phase 1,Recruiting
NCT72158,Phase 3 Study of Metformin in Asthma,Asthma,mRNA-101,Phase 1,Terminated
NCT25878,Phase 3 Study of IL-6 Inhibitor in Type 2 Diabetes,Type 2 Diabetes,BACE Inhibitor,Phase 2,Withdrawn
NCT17805,Phase 3 Study of IL-6 Inhibitor in Alzheimer's,Alzheimer's,Monoclonal Antibody,Phase 1,Completed
NCT18261,Phase 2 Study of Metformin in Rheumatoid Arthritis,Rheumatoid Arthritis,Metformin,Phase 2,Terminated
NCT51814,Phase 2 Study of IL-6 Inhibitor in Asthma,Asthma,IL-6 Inhibitor,Phase 2,Recruiting
NCT80140,Phase 1 Study of mRNA-101 in Type 2 Diabetes,Alzheimer's,IL-6 Inhibitor,Phase 2,Recruiting
NCT82019,Phase 3 Study of mRNA-101 in Rheumatoid Arthritis,Type 2 Diabetes,Metformin,Phase 1,Terminated
NCT70290,Phase 3 Study of Metformin in Rheumatoid Arthritis,Type 2 Diabetes,Metformin,Phase 2,Recruiting
NCT14276,Phase 2 Study of BACE Inhibitor in Type 2 Diabetes,Asthma,BACE Inhibitor,Phase 2,Recruiting
NCT29433,Phase 1 Study of BACE Inhibitor in Cancer,Cancer,BACE Inhibitor,Phase 1,Terminated
NCT80748,Phase 2 Study of Monoclonal Antibody in Asthma,Cancer,IL-6 Inhibitor,Phase 3,Terminated
NCT36056,Phase 2 Study of BACE Inhibitor in Rheumatoid Arthritis,Cancer,Monoclonal Antibody,Phase 3,Completed
NCT64484,Phase 1 Study of IL-6 Inhibitor in Cancer,Asthma,IL-6 Inhibitor,Phase 3,Withdrawn
NCT55913,Phase 1 Study of Metformin in Asthma,Cancer,IL-6 Inhibitor,Phase 2,Recruiting
NCT81982,Phase 1 Study of Monoclonal Antibody in Rheumatoid Arthritis,Rheumatoid Arthritis,mRNA-101,Phase 2,Recruiting
NCT11571,Phase 1 Study of IL-6 Inhibitor in Asthma,Cancer,Metformin,Phase 2,Completed
NCT37246,Phase 1 Study of IL-6 Inhibitor in Asthma,Asthma,IL-6 Inhibitor,Phase 3,Terminated
NCT55795,Phase 3 Study of Monoclonal Antibody in Type 2 Diabetes,Cancer,mRNA-101,Phase 1,Recruiting
NCT14020,Phase 2 Study of Metformin in Alzheimer's,Rheumatoid Arthritis,IL-6 Inhibitor,Phase 2,Recruiting
NCT17863,Phase 3 Study of IL-6 Inhibitor in Alzheimer's,Type 2 Diabetes,IL-6 Inhibitor,Phase 2,Recruiting
NCT37958,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Asthma,Metformin,Phase 1,Terminated
NCT27517,Phase 3 Study of mRNA-101 in Alzheimer's,Alzheimer's,Metformin,Phase 3,Withdrawn
NCT58411,Phase 3 Study of Metformin in Cancer,Asthma,Metformin,Phase 1,Recruiting
NCT89237,Phase 2 Study of BACE Inhibitor in Alzheimer's,Type 2 Diabetes,BACE Inhibitor,Phase 1,Terminated
NCT73442,Phase 3 Study of Monoclonal Antibody in Cancer,Type 2 Diabetes,mRNA-101,Phase 2,Terminated
NCT31269,Phase 2 Study of Metformin in Rheumatoid Arthritis,Rheumatoid Arthritis,mRNA-101,Phase 3,Recruiting
NCT77296,Phase 3 Study of Metformin in Cancer,Type 2 Diabetes,BACE Inhibitor,Phase 2,Terminated
NCT68751,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Cancer,Monoclonal Antibody,Phase 3,Completed
NCT63394,Phase 2 Study of mRNA-101 in Type 2 Diabetes,Rheumatoid Arthritis,Monoclonal Antibody,Phase 3,Terminated
NCT83050,Phase 1 Study of Monoclonal Antibody in Cancer,Alzheimer's,mRNA-101,Phase 2,Recruiting
NCT65922,Phase 2 Study of Metformin in Asthma,Alzheimer's,mRNA-101,Phase 3,Recruiting
NCT90016,Phase 1 Study of Metformin in Asthma,Alzheimer's,Monoclonal Antibody,Phase 2,Terminated
NCT97242,Phase 1 Study of IL-6 Inhibitor in Alzheimer's,Alzheimer's,mRNA-101,Phase 3,Withdrawn
NCT56907,Phase 2 Study of Monoclonal Antibody in Rheumatoid Arthritis,Cancer,Monoclonal Antibody,Phase 3,Completed
NCT70787,Phase 3 Study of Monoclonal Antibody in Asthma,Type 2 Diabetes,Monoclonal Antibody,Phase 3,Withdrawn
NCT32092,Phase 3 Study of Metformin in Type 2 Diabetes,Cancer,mRNA-101,Phase 2,Terminated
NCT44030,Phase 1 Study of mRNA-101 in Asthma,Asthma,Monoclonal Antibody,Phase 3,Withdrawn
NCT14856,Phase 2 Study of BACE Inhibitor in Alzheimer's,Alzheimer's,BACE Inhibitor,Phase 3,Completed
NCT29169,Phase 1 Study of mRNA-101 in Type 2 Diabetes,Alzheimer's,BACE Inhibitor,Phase 2,Withdrawn
NCT55603,Phase 3 Study of mRNA-101 in Rheumatoid Arthritis,Asthma,mRNA-101,Phase 2,Terminated
NCT47434,Phase 2 Study of BACE Inhibitor in Rheumatoid Arthritis,Alzheimer's,mRNA-101,Phase 2,Completed
NCT21673,Phase 3 Study of BACE Inhibitor in Type 2 Diabetes,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Completed
NCT11028,Phase 1 Study of BACE Inhibitor in Asthma,Asthma,BACE Inhibitor,Phase 3,Withdrawn
NCT21645,Phase 3 Study of Metformin in Asthma,Cancer,Monoclonal Antibody,Phase 1,Completed
NCT93560,Phase 1 Study of BACE Inhibitor in Cancer,Rheumatoid Arthritis,Monoclonal Antibody,Phase 2,Recruiting
NCT50587,Phase 3 Study of BACE Inhibitor in Asthma,Type 2 Diabetes,IL-6 Inhibitor,Phase 1,Completed
NCT42481,Phase 3 Study of BACE Inhibitor in Alzheimer's,Rheumatoid Arthritis,BACE Inhibitor,Phase 1,Recruiting
NCT42819,Phase 2 Study of IL-6 Inhibitor in Type 2 Diabetes,Type 2 Diabetes,BACE Inhibitor,Phase 2,Terminated
NCT65021,Phase 3 Study of BACE Inhibitor in Cancer,Alzheimer's,Metformin,Phase 1,Terminated
NCT85878,Phase 3 Study of Metformin in Type 2 Diabetes,Cancer,Monoclonal Antibody,Phase 1,Terminated
NCT84502,Phase 1 Study of Metformin in Cancer,Alzheimer's,IL-6 Inhibitor,Phase 1,Recruiting
NCT94591,Phase 3 Study of BACE Inhibitor in Rheumatoid Arthritis,Asthma,Metformin,Phase 2,Recruiting
NCT33149,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Asthma,Metformin,Phase 2,Terminated
NCT81905,Phase 2 Study of Monoclonal Antibody in Rheumatoid Arthritis,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Recruiting
NCT29030,Phase 2 Study of IL-6 Inhibitor in Rheumatoid Arthritis,Cancer,Monoclonal Antibody,Phase 1,Withdrawn
NCT57769,Phase 2 Study of Monoclonal Antibody in Rheumatoid Arthritis,Rheumatoid Arthritis,Metformin,Phase 3,Terminated
NCT61096,Phase 3 Study of Monoclonal Antibody in Type 2 Diabetes,Type 2 Diabetes,Metformin,Phase 2,Terminated
NCT40231,Phase 3 Study of IL-6 Inhibitor in Type 2 Diabetes,Type 2 Diabetes,Monoclonal Antibody,Phase 2,Withdrawn
NCT43542,Phase 2 Study of mRNA-101 in Asthma,Rheumatoid Arthritis,BACE Inhibitor,Phase 3,Terminated
NCT93306,Phase 1 Study of mRNA-101 in Rheumatoid Arthritis,Rheumatoid Arthritis,BACE Inhibitor,Phase 2,Withdrawn
NCT57659,Phase 2 Study of IL-6 Inhibitor in Type 2 Diabetes,Asthma,IL-6 Inhibitor,Phase 3,Withdrawn
NCT50894,Phase 2 Study of BACE Inhibitor in Type 2 Diabetes,Type 2 Diabetes,BACE Inhibitor,Phase 3,Recruiting
NCT93387,Phase 2 Study of Metformin in Cancer,Type 2 Diabetes,IL-6 Inhibitor,Phase 3,Terminated
NCT22184,Phase 3 Study of BACE Inhibitor in Rheumatoid Arthritis,Alzheimer's,BACE Inhibitor,Phase 2,Withdrawn
NCT32268,Phase 3 Study of BACE Inhibitor in Alzheimer's,Type 2 Diabetes,Metformin,Phase 3,Completed
NCT25276,Phase 1 Study of BACE Inhibitor in Cancer,Alzheimer's,BACE Inhibitor,Phase 3,Terminated
NCT22781,Phase 3 Study of Monoclonal Antibody in Rheumatoid Arthritis,Alzheimer's,Metformin,Phase 2,Recruiting
NCT79702,Phase 3 Study of Metformin in Alzheimer's,Type 2 Diabetes,IL-6 Inhibitor,Phase 3,Completed
NCT27149,Phase 3 Study of IL-6 Inhibitor in Alzheimer's,Cancer,BACE Inhibitor,Phase 3,Withdrawn
NCT79695,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Type 2 Diabetes,BACE Inhibitor,Phase 1,Completed
NCT68271,Phase 1 Study of BACE Inhibitor in Rheumatoid Arthritis,Alzheimer's,mRNA-101,Phase 2,Completed
NCT32809,Phase 2 Study of Metformin in Type 2 Diabetes,Type 2 Diabetes,Metformin,Phase 2,Completed
NCT64284,Phase 3 Study of mRNA-101 in Alzheimer's,Type 2 Diabetes,BACE Inhibitor,Phase 2,Terminated
NCT20405,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Alzheimer's,mRNA-101,Phase 3,Recruiting
NCT45705,Phase 2 Study of mRNA-101 in Cancer,Asthma,IL-6 Inhibitor,Phase 2,Recruiting
NCT65191,Phase 2 Study of IL-6 Inhibitor in Alzheimer's,Type 2 Diabetes,Monoclonal Antibody,Phase 1,Terminated
NCT20876,Phase 1 Study of Monoclonal Antibody in Type 2 Diabetes,Cancer,mRNA-101,Phase 3,Withdrawn
NCT94173,Phase 1 Study of Metformin in Asthma,Alzheimer's,BACE Inhibitor,Phase 2,Completed
NCT50676,Phase 3 Study of Metformin in Alzheimer's,Type 2 Diabetes,mRNA-101,Phase 3,Completed
NCT15620,Phase 1 Study of IL-6 Inhibitor in Type 2 Diabetes,Rheumatoid Arthritis,Metformin,Phase 1,Withdrawn
NCT60404,Phase 3 Study of Metformin in Asthma,Rheumatoid Arthritis,BACE Inhibitor,Phase 3,Withdrawn
NCT36619,Phase 3 Study of Metformin in Rheumatoid Arthritis,Cancer,mRNA-101,Phase 1,Terminated
